customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00054,Male,0,No,Yes,24,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),87.68,2115.86,No
C00055,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,72.65,279.23,No
C00056,Female,0,Yes,Yes,44,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,68.71,2993.43,Yes
C00057,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),24.72,91.48,No
C00058,Male,0,No,No,41,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),64.16,2534.46,No
C00059,Male,0,Yes,No,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.8,962.71,Yes
C00060,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.96,152.78,Yes
C00061,Male,0,Yes,No,45,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,62.98,2815.13,Yes
C00062,Male,0,No,No,21,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),73.5,1491.56,No
C00063,Male,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,94.35,3045.15,Yes
C00064,Male,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.15,792.93,No
C00065,Female,0,No,No,16,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,25.0,450.79,No
C00066,Female,0,No,No,55,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,67.62,3768.12,No
C00067,Male,1,Yes,No,2,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,89.14,255.09,Yes
C00068,Female,1,Yes,No,69,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),71.34,4961.91,No
C00069,Female,0,No,No,48,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Mailed check,67.73,3265.36,No
C00070,Female,0,No,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,27.09,1522.18,No
C00071,Female,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.31,559.77,No
C00072,Male,0,No,No,20,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),84.67,1715.54,No
C00073,Female,1,No,No,15,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,45.06,623.94,Yes
C00074,Male,0,No,Yes,16,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,101.73,1683.48,No
C00075,Female,1,Yes,No,0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),65.32,0.0,Yes
C00076,Female,1,Yes,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.67,1514.13,No
C00077,Female,0,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,22.78,1437.59,No
C00078,Male,0,Yes,No,65,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,49.31,3252.67,No
C00079,Female,0,No,No,36,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,45.05,1616.51,No
C00080,Male,1,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.87,619.83,No
C00081,Female,0,No,Yes,61,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,94.25,5746.28,Yes
C00082,Male,1,Yes,Yes,20,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,72.94,1427.56,No
C00083,Female,0,Yes,Yes,36,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,47.27,1688.5,Yes
C00084,Male,0,No,Yes,34,Yes,No phone service,DSL,No,No,Yes,No,No,No,Two year,No,Mailed check,55.78,1931.32,No
C00085,Male,1,Yes,No,37,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),50.72,1791.31,No
C00086,Female,0,Yes,No,52,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,71.38,3752.59,No
C00087,Male,0,Yes,No,14,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,109.47,1528.67,No
C00088,Female,0,No,No,41,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Credit card (automatic),75.83,3092.06,No
C00089,Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,87.98,187.61,Yes
C00090,Female,0,No,No,38,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,49.14,1878.39,No
C00091,Female,0,Yes,No,22,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),48.64,1034.38,No
C00092,Female,1,No,Yes,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),78.06,1075.69,No
C00093,Female,1,Yes,No,11,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),74.07,848.88,No
C00094,Female,0,No,Yes,69,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),22.54,1535.11,No
C00095,Female,0,No,No,53,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),80.51,4283.02,No
C00096,Female,0,No,No,37,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),89.89,3237.55,No
C00097,Female,0,No,No,27,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,104.23,2801.07,Yes
C00098,Female,1,No,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,23.01,475.72,No
C00099,Male,0,No,No,68,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.81,4801.95,No
C00100,Male,0,Yes,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),27.6,1652.84,No
C00101,Female,0,No,Yes,3,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Electronic check,95.79,239.52,Yes
C00102,Female,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.59,188.0,No
C00103,Female,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),26.67,368.66,No
C00104,Female,0,Yes,Yes,68,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,70.86,4890.89,No
C00105,Female,0,Yes,No,6,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,89.76,549.96,No
C00106,Female,0,Yes,No,43,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,74.42,3148.45,No
C00107,Female,0,No,No,22,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),97.85,2170.59,Yes
C00108,Female,0,Yes,Yes,1,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),57.91,42.86,No
C00109,Male,0,Yes,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.97,838.55,No
C00110,Female,0,No,No,68,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.28,1242.29,No
C00111,Male,0,Yes,Yes,19,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,86.97,1612.7,No
C00112,Female,0,No,Yes,43,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),55.47,2364.99,No
C00113,Female,0,No,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),29.74,2052.96,No
C00114,Male,0,No,No,50,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),81.11,3999.23,No
C00115,Female,1,No,No,30,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),108.16,3247.33,No
C00116,Male,1,Yes,Yes,40,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),59.9,2382.41,Yes
C00117,Female,0,Yes,No,57,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,47.5,2755.43,Yes
C00118,Female,1,Yes,No,4,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,92.66,333.78,No
C00119,Male,0,No,No,32,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),46.6,1531.14,No
C00120,Female,0,Yes,No,42,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.28,4420.64,No
C00121,Male,0,Yes,Yes,18,Yes,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),47.25,862.03,Yes
C00122,Female,0,Yes,Yes,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,27.82,892.46,No
C00123,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.28,56.34,Yes
C00124,Male,0,Yes,Yes,0,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),55.95,0.0,No
C00125,Female,0,No,No,40,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,54.09,2084.31,Yes
C00126,Female,0,Yes,No,47,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,74.05,3431.15,Yes
C00127,Male,0,Yes,No,38,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,102.66,3923.39,No
C00128,Female,1,Yes,No,4,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),67.66,316.06,Yes
C00129,Female,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),108.49,1114.01,No
C00130,Female,0,No,No,21,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,23.65,414.61,No
C00131,Male,0,Yes,No,63,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Mailed check,66.88,4259.48,No
C00132,Male,0,Yes,No,11,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),59.72,700.35,Yes
C00133,Male,0,No,No,52,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.88,4479.39,Yes
C00134,Male,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.72,1579.16,No
C00135,Male,0,Yes,Yes,52,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,55.41,2862.45,No
C00136,Male,0,Yes,Yes,20,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,80.8,1595.19,No
C00137,Male,0,Yes,No,18,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),46.48,919.45,No
C00138,Male,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),22.22,1599.13,No
C00139,Male,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,92.21,6517.97,No
C00140,Female,0,Yes,No,65,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,91.02,5859.64,No
C00141,Male,0,No,Yes,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.12,1369.97,Yes
C00142,Female,0,Yes,No,48,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),91.86,4360.45,No
C00143,Female,1,No,No,58,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,75.57,4352.14,Yes
C00144,Female,1,Yes,No,22,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),48.46,1092.06,No
C00145,Male,1,No,No,2,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,76.41,102.89,Yes
C00146,Male,0,Yes,No,55,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),54.08,2975.56,No
C00147,Male,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,27.67,1519.13,No
C00148,Male,0,Yes,No,61,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.24,6582.21,No
C00149,Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,23.38,285.55,No
C00150,Male,0,Yes,No,60,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),73.63,4365.92,No
C00151,Male,0,Yes,Yes,36,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Mailed check,64.32,2344.97,No
C00152,Male,1,No,No,53,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,89.62,4751.03,No
C00153,Male,0,No,No,64,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),56.44,3582.76,No
C00154,Male,1,Yes,No,13,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Electronic check,52.82,665.89,No
C00155,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,23.58,95.48,No
C00156,Male,0,Yes,No,61,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,62.62,3755.18,No
C00157,Female,0,Yes,No,0,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Mailed check,82.72,0.0,No
C00158,Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.77,1498.57,No
C00159,Female,0,Yes,No,66,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,No,Electronic check,70.77,4748.01,No
C00160,Male,0,No,Yes,19,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,100.58,1984.0,No
C00161,Male,0,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.71,765.33,No
C00162,Female,0,No,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.61,993.0,No
C00163,Female,1,No,Yes,68,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.43,6130.94,Yes
C00164,Female,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.99,972.61,No
C00165,Male,1,No,No,61,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,48.25,3018.48,No
C00166,Female,0,Yes,Yes,47,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,46.18,2166.83,No
C00167,Male,0,No,No,5,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),77.65,333.01,Yes
C00168,Male,0,Yes,No,41,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),87.44,3570.35,No
C00169,Female,0,No,Yes,57,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),109.85,6272.67,No
C00170,Female,0,No,No,42,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,91.97,3874.4,Yes
C00171,Male,0,No,No,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.74,174.36,No
C00172,Male,0,No,No,38,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),87.39,3330.85,No
C00173,Female,0,Yes,No,12,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.68,245.02,No
C00174,Female,0,No,No,38,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,79.84,3038.82,No
C00175,Female,0,Yes,No,10,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Electronic check,83.88,810.21,No
C00176,Male,0,No,No,15,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,98.94,1510.72,No
C00177,Male,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),99.53,3186.05,No
